Symbol
AKAM
ALB
AON
AVB
BA
CI
CNP
COO
DOW
DPZ
ECL
ENPH
EQR
EW
GLW
HON
IDXX
INTU
IP
IPG
KO
LDOS
LEN
LLY
LNT
MAR
MCK
MDLZ
MMM
MSCI
MTCH
NTAP
PANW
PAYC
PG
PLD
PSA
QCOM
RJF
RL
RVTY
SNA
SO
TSN
UHS
V
WST
WY
WYNN
