Cluster,Open_min,Open_max,Close_min,Close_max
1,92.0,190.9499969482422,92.4800033569336,177.6300048828125
2,27.770000457763672,90.0,17.059999465942383,98.91000366210938
3,385.0,500.0,287.17999267578125,393.510009765625
4,192.77999877929688,319.0,78.94000244140625,327.5400085449219
