Symbol,Cluster
AKAM,1
ALB,4
AON,4
AVB,1
BA,4
CI,4
CNP,2
COO,2
DOW,2
DPZ,3
ECL,1
ENPH,1
EQR,2
EW,2
FLT,4
GLW,2
HON,4
IDXX,3
INTU,3
IP,2
IPG,2
KO,2
LDOS,2
LEN,2
LLY,1
LNT,2
MAR,1
MCK,1
MDLZ,2
MMM,1
MSCI,3
MTCH,2
NTAP,2
PANW,2
PAYC,4
PG,1
PLD,1
PSA,4
QCOM,1
RJF,1
RL,1
RVTY,1
SNA,4
SO,2
TSN,2
UHS,1
V,4
WST,4
WY,2
WYNN,2
